# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label	Enable	X/Longitude	Y/Latitude	Z/Altitude	Yaw	Pitch	Roll	Accuracy_X_(m)	Accuracy_Y_(m)	Accuracy_Z_(m)	Accuracy_Yaw/Pitch/Roll_(deg)	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Yaw_error	Pitch_error	Roll_error	X_est	Y_est	Z_est	Yaw_est	Pitch_est	Roll_est	X_var	Y_var	Z_var	Yaw_var	Pitch_var	Roll_var
DJI_20260722122519_0024_MS_G.TIF	1	-5.557635	42.615539	936.139000	149.700000	0.100000	-0.000000	0.009980	0.010920	0.023020	10.000000																				
DJI_20260722122519_0024_MS_NIR.TIF	1	-5.557636	42.615539	936.139000	149.700000	0.100000	-0.000000	0.009980	0.010920	0.023020	10.000000																				
DJI_20260722122519_0024_MS_R.TIF	1	-5.557635	42.615539	936.139000	149.700000	0.100000	-0.000000	0.009980	0.010920	0.023020	10.000000																				
DJI_20260722122519_0024_MS_RE.TIF	1	-5.557636	42.615539	936.139000	149.700000	0.100000	-0.000000	0.009980	0.010920	0.023020	10.000000																				
DJI_20260722122522_0025_D.JPG	1	-5.557560	42.615442	936.256000	149.700000	0.100000	-0.000000	0.010050	0.010980	0.023020	10.000000																				
DJI_20260722122522_0025_MS_G.TIF	1	-5.557559	42.615441	936.247000	149.800000	-0.000000	0.000000	0.010050	0.010980	0.023020	10.000000																				
DJI_20260722122522_0025_MS_NIR.TIF	1	-5.557559	42.615440	936.247000	149.800000	-0.000000	0.000000	0.010050	0.010980	0.023020	10.000000																				
DJI_20260722122522_0025_MS_R.TIF	1	-5.557559	42.615441	936.247000	149.800000	-0.000000	0.000000	0.010050	0.010980	0.023020	10.000000																				
DJI_20260722122522_0025_MS_RE.TIF	1	-5.557559	42.615441	936.247000	149.800000	-0.000000	0.000000	0.010050	0.010980	0.023020	10.000000																				
DJI_20260722122525_0026_D.JPG	1	-5.557477	42.615336	936.337000	149.700000	0.100000	-0.000000	0.010040	0.010930	0.022940	10.000000																				
DJI_20260722122525_0026_MS_G.TIF	1	-5.557477	42.615336	936.330000	149.700000	0.100000	-0.000000	0.010040	0.010930	0.022940	10.000000																				
DJI_20260722122525_0026_MS_NIR.TIF	1	-5.557477	42.615335	936.330000	149.700000	0.100000	-0.000000	0.010040	0.010930	0.022940	10.000000																				
DJI_20260722122525_0026_MS_R.TIF	1	-5.557477	42.615335	936.330000	149.700000	0.100000	-0.000000	0.010040	0.010930	0.022940	10.000000																				
DJI_20260722122525_0026_MS_RE.TIF	1	-5.557477	42.615335	936.330000	149.700000	0.100000	-0.000000	0.010040	0.010930	0.022940	10.000000																				
DJI_20260722122529_0027_D.JPG	1	-5.557403	42.615241	936.410000	149.800000	0.100000	-0.000000	0.009990	0.010950	0.022980	10.000000																				
DJI_20260722122529_0027_MS_G.TIF	1	-5.557402	42.615241	936.399000	149.800000	-0.000000	0.000000	0.009990	0.010950	0.022980	10.000000																				
